"activity_period","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","geo_region","geo_summary","landing_aircraft_type","landing_count","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","total_landed_weight"
"200508","Narrow Body","Boeing","757",,"US","Domestic","Passenger","200","Delta Air Lines","DL","Delta Air Lines","DL","39600000"
"200508","Wide Body","Boeing","767","200","US","Domestic","Passenger","49","Delta Air Lines","DL","Delta Air Lines","DL","13230000"
"200508","Wide Body","Boeing","767","300","US","Domestic","Passenger","73","Delta Air Lines","DL","Delta Air Lines","DL","21535000"
"200508","Wide Body","Boeing","767","300ER","US","Domestic","Passenger","11","Delta Air Lines","DL","Delta Air Lines","DL","3520000"
"200508","Wide Body","Boeing","767","400","US","Domestic","Passenger","62","Delta Air Lines","DL","Delta Air Lines","DL","21700000"
"200508","Wide Body","Boeing","747","400","Asia","International","Combi","52","EVA Airways","BR","EVA Airways","BR","32708000"
"200508","Wide Body","McDonnell Douglas","MD-11",,"Asia","International","Freighter","1","EVA Airways","BR","EVA Airways","BR","471500"
"200508","Wide Body","McDonnell Douglas","DC-10","10","US","Domestic","Freighter","48","Federal Express","FX","Federal Express","FX","18000000"
"200508","Wide Body","McDonnell Douglas","DC-10","30","US","Domestic","Freighter","1","Federal Express","FX","Federal Express","FX","436000"
"200508","Wide Body","McDonnell Douglas","MD-11",,"US","Domestic","Freighter","21","Federal Express","FX","Federal Express","FX","10111500"
"200508","Narrow Body","Airbus","A318",,"US","Domestic","Passenger","14","Frontier Airlines","F9","Frontier Airlines","F9","1729000"
"200508","Narrow Body","Airbus","A319",,"US","Domestic","Passenger","149","Frontier Airlines","F9","Frontier Airlines","F9","20040500"
"200508","Wide Body","Boeing","767","300","US","Domestic","Passenger","31","Hawaiian Airlines","HA","Hawaiian Airlines","HA","9920000"
"200508","Regional Jet","Bombardier","CRJ","700","US","Domestic","Passenger","93","Horizon Air ","QX","Alaska Airlines","AS","6231000"
"200508","Wide Body","Boeing","767","300ER","Europe","International","Passenger","18","Icelandair","FI","Icelandair","FI","5760000"
"200508","Narrow Body","Airbus","A319",,"US","Domestic","Passenger","93","Independence Air","DH","Independence Air","DH","12815400"
